Page number	proj no	State	city	county	name of facility	control	category	type const	adj fac	beds provided	Total	Hill-Burton Funds	Month	Year	Status
71	M003	Florida	Lake Butler	Union	Union County Hosp	3	1	4	-	25	"939,448"	"365,000"	11	68	2
71	A134	Florida	Lake City	Columbia	Lake Shore Hosp	3	1	7	4	74	"2,875,240"	"1,000,000"	08	69	2
71	A095	Florida	Lake City	Columbia	Lake Shore Hosp	3	1	5	4	25	"803,876"	"437,500"	09	62	3
71	L012	Florida	Lake Wales	Polk	Lake Wales Hosp	1	LTU	1	-	39	"776,618"	"387,789"	04	66	3
71	T012	Florida	Lake Wales	Polk	Lake Wales Hosp	1	9	1	-	-	"383,452"	"191,726"	04	66	3
71	B035	Florida	Lake Wales	Polk	Polk County Aux PHC	3	5	1	-	-	"37,911"	"15,164"	07	58	3
71	E011	Florida	Lakeland	Polk	Lakeland Gen Hosp	2	1	2	-	28	"189,702"	"66,396"	07	64	3
71	TC11	Florida	Lakeland	Polk	Lakeland Gen Hosp	2	9	2	-	-	"430,959"	"200,000"	07	64	3
71	A045	Florida	Lakeland	Polk	Lakeland Gen Hosp	2	1	4	-	171	"4,458,021"	"1,100,000"	03	56	3
71	B016	Florida	Lakeland	Polk	Polk County Aux PHC	3	5	1	-	-	"85,408"	"33,442"	06	55	3
71	D001	Florida	Lantana	Palm Beach	SE Florida Sanatorium	4	2	1	-	500	"3,710,051"	"1,189,761"	02	48	3
71	NU06	Florida	Largo	Pinellas	Pinellas CO NR SNG Home	3	0	2	-	100	"814,615"	"356,121"	03	61	3
71	B028	Florida	Leesburg	Lake	Lake CO Aux PHC	3	5	1	-	-	"41,510"	"15,020"	03	57	3
71	A085	Florida	Leesburg	Lake	Leesburg General Hosp	2	1	1	-	78	"1,638,655"	"552,057"	03	61	3
71	A129	Florida	Leesburg	Lake	Leesburg General Hosp	1	1	5	4	17	"567,689"	"195,352"	02	69	2
71	A002	Florida	Live Oak	Suwannee	Suwannee CO Hosp	3	1	1	-	36	"308,242"	"93,686"	03	48	3
71	A055	Florida	Live Oak	Suwannee	Suwannee CO Hosp	3	1	5	-	22	"316,497"	"175,000"	03	58	3
71	A030	Florida	Live Oak	Suwannee	Suwannee CO Hosp	3	1	5	-	8	"184,911"	"110,000"	08	53	3
71	L003	Florida	Macclenny	Baker	Baker CO Nursing Home	3	LTU	2	-	30	"280,375"	"139,613"	06	67	3
71	A041	Florida	Macclenny	Baker	ED Fraser Memorial Hosp	3	1	1	-	25	"452,971"	"265,000"	06	55	3
71	A021	Florida	Madison	Madison	Madison County Hosp	3	1	1	-	31	"389,558"	"219,926"	03	51	3
71	B083	Florida	Madison	Madison	Madison County PHC	3	5	4	-	-	"87,032"	"55,596"	03	68	2
71	A087	Florida	Marathon	Monroe	Fishermens Hosp	1	1	1	-	35	"773,460"	"483,126"	03	61	3
71	B013	Florida	Marianna	Jackson	Jackson CO PHC	3	5	1	-	-	"87,038"	"56,575"	02	54	3
71	A024	Florida	Marianna	Jackson	Jackson County Hosp	3	1	5	3	13	"158,653"	"103,124"	01	52	3
71	A093	Florida	Marianna	Jackson	Jackson County Hosp	3	1	5	4	20	"589,668"	"325,000"	06	62	3
71	L011	Florida	Marianna	Jackson	Marianna Conv Center	2	0	1	-	98	"859,732"	"427,366"	01	69	2
71	B072	Florida	Mayo	Lafayette	Lafayette CO PHC	3	5	1	-	-	"77,971"	"46,783"	12	66	3
71	R012	Florida	Melbourne	Brevard	Brevard Cripld Child	1	6	1	-	-	"193,969"	"96,985"	12	62	3
71	LT07	Florida	Melbourne	Brevard	Brevard Hosp	1	9	5	-	-	"1,382,477"	"421,656"	01	68	3
71	A068	Florida	Melbourne	Brevard	Brevard Hosp	1	1	1	-	160	"2,124,827"	"1,010,000"	04	60	3
71	L007	Florida	Melbourne	Brevard	Brevard Hosp	1	LTU	2	4	150	"1,950,897"	"937,500"	06	67	3
71	B065	Florida	Melbourne	Brevard	Melbourne PHC	3	5	1	-	-	"187,130"	"84,035"	08	65	3
71	A061	Florida	Miami	Dade	Baptist Hosp of Miami	1	1	1	-	246	"5,156,729"	"1,077,609"	01	59	3
71	TC08	Florida	Miami	Dade	Bascom Palmer Institute	3	9	2	-	-	"224,941"	"112,471"	07	60	3
71	B023	Florida	Miami	Dade	Dade CO Dist Lab & PHC	3	5	1	-	-	"695,829"	"243,228"	07	56	3
72	N008	Florida	Miami	Dade	Douglas Gardens Home	1	0	2	-	118	"1,151,325"	"497,800"	04	62	3
72	TC05	Florida	Miami	Dade	Jackson Memorial Hosp	3	9	2	-	-	"196,140"	"98,070"	03	58	3
72	A015	Florida	Miami	Dade	Jackson Memorial Hosp	3	1	2	4	195	"4,538,317"	"1,263,500"	01	50	3
72	T031	Florida	Miami	Dade	Jackson Memorial Hosp	3	9	2	-	-	"889,264"	"200,000"	05	70	2
72	A063	Florida	Miami	Dade	Jackson Memorial Hosp	3	1	2	-	232	"2,463,060"	"538,803"	12	58	3
72	T014	Florida	Miami	Dade	Jackson Memorial Hosp	3	9	2	-	-	"55,283"	"21,289"	02	64	3
72	L023	Florida	Miami	Dade	Lutheran Medical CTR	1	4	1	-	197	"3,473,024"	"1,250,000"	10	69	2
72	TC14	Florida	Miami	Dade	National Childrens	1	9	1	-	-	"324,101"	"162,051"	06	60	3
72	C014	Florida	Miami	Dade	National Childrens	1	LTU	1	-	50	"1,027,061"	"513,530"	06	60	3
72	B051	Florida	Miami	Dade	North Dade County PHC	3	5	1	-	-	"149,708"	"52,102"	03	63	3
72	R009	Florida	Miami	Dade	Parkinson Foundation	1	6	1	-	-	"211,329"	"104,220"	07	61	3
72	RB01	Florida	Miami	Dade	Rehab CTR Child Adults	1	6	1	-	-	"289,175"	"125,050"	03	56	3
72	RA01	Florida	Miami	Dade	United Cereb Palsy Assn	1	6	1	-	-	"295,678"	"125,050"	03	56	3
72	T011	Florida	Miami	Dade	Variety Child Hosp	1	9	2	-	-	"376,092"	"187,581"	03	62	3
72	C002	Florida	Miami	Dade	Variety Child Hosp	1	1	1	-	80	"843,532"	"281,178"	02	48	3
72	R015	Florida	Miami	Dade	Variety Child Hosp	1	6	2	-	-	"321,676"	"122,851"	06	63	3
72	L026	Florida	Miami	Dade	Villa Maria NRSNG Home	1	0	2	8	-	"250,000"	"125,000"	04	70	2
72	B052	Florida	Miami Beach	Dade	Miami Beach PHC	3	5	1	-	-	"113,725"	"39,698"	05	63	3
72	C015	Florida	Miami Beach	Dade	Miami Heart Institute	1	LTU	5	4	42	"695,401"	"289,279"	04	60	3
72	T030	Florida	Miami Beach	Dade	Mount Sinai Hosp	1	9	2	-	-	"11,686,760"	"687,101"	05	70	2
72	A062	Florida	Miami Beach	Dade	Mount Sinai Hosp	1	1	1	-	417	"9,011,170"	"1,077,608"	01	59	3
72	R021	Florida	Miami Beach	Dade	Mount Sinai Hosp	1	6	2	-	-	"1,199,633"	"599,816"	04	66	3
72	T032	Florida	Miami Beach	Dade	South Shore HSP MEO CTR	1	9	3	-	-	"215,336"	"107,668"	06	70	2
72	A054	Florida	Milton	Santa Rosa	Santa Rosa CO Hosp	3	1	5	-	23	"188,564"	"96,000"	06	58	3
72	G020	Florida	Milton	Santa Rosa	Santa Rosa CO Hosp	6	1	4	-	53	"1,204,410"	"500,000"	02	70	2
72	M020	Florida	Milton	Santa Rosa	Santa Rosa CO Hosp	6	1	4	-	100	"2,272,524"	"1,000,000"	02	70	2
72	A083	Florida	Milton	Santa Rosa	Santa Rosa CO Hosp	3	1	2	4	25	"497,153"	"285,000"	06	61	3
72	A020	Florida	Milton	Santa Rosa	Santa Rosa CO Hosp	3	7	1	-	23	"424,035"	"270,041"	05	50	3
72	B069	Florida	Milton	Santa Rosa	Santa Rosa CO PHC	3	5	5	-	-	"89,185"	"56,753"	06	67	3
72	B037	Florida	Milton	Santa Rosa	Santa Rosa CO PHC	3	5	1	-	-	"84,810"	"49,500"	05	59	3
72	B077	Florida	Monticello	Jefferson	Jefferson County PHC	3	5	1	-	-	"122,855"	"73,703"	06	67	2
72	B039	Florida	Mulberry	Polk	Polk CO AUX PHC	3	5	1	-	-	"44,411"	"19,985"	02	60	3
72	B075	Florida	N Port Richey	Pasco	New Port Richey AUX PHC	3	5	1	-	-	"108,811"	"53,321"	11	66	3
72	A102	Florida	N Port Richey	Pasco	West Pasco Hosp	3	1	1	-	40	"620,167"	"307,884"	08	63	3
72	B048	Florida	Naples	Collier	Collier County PHC	3	5	1	-	-	"174,538"	"61,088"	03	62	3
72	T020	Florida	Naples	Collier	Naples Comm Hosp	1	9	2	-	-	"339,232"	"169,616"	12	65	3
72	A075	Florida	New Smyrna BCH	Volusia	Bert Fish Memorial Hosp	1	1	5	4	20	"237,689"	"90,000"	03	60	3
73	A081	Florida	Niceville	Okaloosa	Valparaiso Niceville	3	1	1	-	25	"521,266"	"307,500"	06	61	3
73	B047	Florida	Ocala	Marion	Marion County PHC	3	5	1	-	-	"182,926"	"72,464"	02	62	3
73	C047	Florida	Ocala	Marion	Munroe Memorial Hosp	2	LTU	2	-	16	"99,563"	"49,050"	02	58	3
73	A022	Florida	Ocala	Marion	Munroe Memorial Hosp	2	1	5	1	33	"842,297"	"379,000"	06	51	3
73	A047	Florida	Ocala	Marion	Munroe Memorial Hosp	2	1	5	-	78	"882,326"	"313,100"	02	57	3
73	A065	Florida	Okeechobee	Okeechobee	La Raulerson Hosp	3	1	1	-	25	"449,689"	"190,000"	06	60	3
73	TC15	Florida	Orlando	Orange	Fla San & Hosp	1	9	2	8	-	"218,537"	"49,594"	04	63	3
73	R011	Florida	Orlando	Orange	Fla San & Hosp Morgan	1	6	2	-	-	"597,755"	"209,275"	01	62	3
73	T016	Florida	Orlando	Orange	Mercy Medical CTR	1	9	1	-	-	"391,904"	"195,952"	06	64	3
73	T023	Florida	Orlando	Orange	Orange Co Med Clinic	3	9	1	-	-	"719,266"	"359,633"	07	66	3
73	A014	Florida	Orlando	Orange	Orange Memorial Hospital	1	1	5	4	43	"786,724"	"276,007"	01	50	3
73	B032	Florida	Orlando	Orange	Orange Regional Lab	4	8	1	-	-	"163,822"	"80,000"	02	57	3
73	A109	Florida	Pahokee	Palm Beach	Everglades Mem Hosp	5	1	1	-	50	"1,183,567"	"472,450"	10	63	3
73	B012	Florida	Pahokee	Palm Beach	Pahokee Aux PHC	6	5	1	-	-	"25,423"	"8,857"	01	54	3
73	B053	Florida	Palatka	Putnam	Putnam County PHC	3	5	1	-	-	"158,974"	"70,000"	03	63	3
73	A043	Florida	Palatka	Putnam	Putnam Memorial Hosp	3	1	1	-	67	"1,117,680"	"450,000"	01	56	3
73	B086	Florida	Palm B Gardens	Palm Beach	N E Palm Beach Aux PHC	3	5	1	-	-	"234,185"	"89,175"	04	69	2
73	A107	Florida	Palm B Gardens	Palm Beach	Palm Beach Gardens Hosp	2	1	1	-	86	"1,317,449"	"440,000"	02	63	3
73	R020	Florida	Palm Beach	Palm Beach	Rehabilitation Center	1	6	5	4	-	"385,871"	"193,521"	09	65	3
73	A001	Florida	Panama City	Bay	Memorial Hosp	3	1	1	-	58	"616,152"	"195,433"	01	48	3
73	A082	Florida	Panama City	Bay	Memorial Hosp	3	1	2	4	50	"767,413"	"450,000"	02	61	3
73	A120	Florida	Panama City	Bay	Memorial Hosp	3	1	5	4	52	"820,625"	"400,000"	06	66	3
73	TC03	Florida	Panama City	Bay	Memorial Hosp	3	9	2	-	-	"25,242"	"12,611"	02	56	3
73	A009	Florida	Pensacola	Escambia	Baptist Hosp  	1	1	1	-	158	"1,555,390"	"855,464"	10	48	3
73	T026	Florida	Pensacola	Escambia	Baptist Hosp  	1	9	5	4	-	"715,579"	"300,000"	01	69	2
73	RU08	Florida	Pensacola	Escambia	Baptist Hosp  	1	6	2	-	-	"275,094"	"137,547"	05	63	3
73	E008	Florida	Pensacola	Escambia	Baptist Hosp  	1	1	5	-	21	"135,634"	"74,599"	05	63	3
73	A051	Florida	Pensacola	Escambia	Baptist Hosp  	1	1	2	-	125	"1,995,134"	"840,125"	02	57	3
73	C005	Florida	Pensacola	Escambia	Crippled Child Conv	1	4	5	4	4	"37,049"	"14,917"	10	55	3
73	C013	Florida	Pensacola	Escambia	Crippled Child Conv	1	4	2	3	11	"59,193"	"29,597"	03	60	3
73	NU09	Florida	Pensacola	Escambia	Escambia Co Nrsng Home	3	0	1	-	100	"490,842"	"233,610"	04	63	3
73	B018	Florida	Pensacola	Escambia	Escambia Co PHC	3	5	1	-	-	"494,323"	"222,620"	01	56	3
73	A052	Florida	Pensacola	Escambia	Escambia General Hosp	3	1	1	-	129	"2,478,891"	"1,200,000"	06	57	3
73	L004	Florida	Pensacola	Escambia	Haven Our Lady of Peace	1	0	4	-	96	"1,406,299"	"556,500"	11	65	3
73	B062	Florida	Pensacola	Escambia	Regional Laboratory	4	8	1	-	-	"239,662"	"119,658"	04	64	3
73	A042	Florida	Perry	Taylor	Doctors Memorial Hosp	3	1	1	-	30	"426,669"	"212,804"	07	55	3
73	A128	Florida	Perry	Taylor	Doctors Memorial Hosp	3	1	4	-	48	"1,181,985"	"510,000"	05	67	3
74	R022	Florida	Pinellas Park	Pinellas	Easter Seal Rehab CTR	1	6	1	-	-	"275,347"	"137,500"	09	66	3
74	D015	Florida	Plant City	Hillsborough	Plant City AUX PHC	3	9	1	-	-	"219,253"	"105,276"	05	67	3
74	0015	Florida	Plant City	Hillsborough	Plant City AUX PHC	3	5	1	-	-	"223,955"	"93,750"	05	67	3
74	A016	Florida	Plant City	Hillsborough	SO Florida Baptist Hosp	1	1	1	-	100	"1,239,870"	"534,284"	02	51	3
74	L014	Florida	Plant City	Hillsborough	SO Florida Baptist Hosp	1	LTU	2	4	96	"939,309"	"469,655"	08	67	3
74	L018	Florida	Port Charlotte	Charlotte	ST Joseph Nursing Home	1	0	1	-	100	"1,557,913"	"625,000"	04	69	2
74	B024	Florida	Port ST JOE	Gulf	Gulf CO PHC	3	5	1	-	-	"60,771"	"30,000"	02	56	3
74	A057	Florida	Port ST JOE	Gulf	Municipal Hosp	2	1	5	-	38	"554,408"	"300,000"	02	59	3
74	B078	Florida	Punta Gorda	Charlotte	Charlotte County PHC	3	5	1	-	-	"421,529"	"156,166"	02	68	2
74	A077	Florida	Punta Gorda	Charlotte	Medical Center	1	1	5	4	63	"575,556"	"225,000"	03	61	3
74	N011	Florida	Punta Goroa	Charlotte	Medical Center	1	LTU	2	-	40	"586,906"	"268,535"	05	64	3
74	A003	Florida	Quincy	Gadsden	Gadsden County Hosp	3	1	1	-	69	"987,211"	"528,650"	11	47	3
74	B054	Florida	Quincy	Gadsden	Gadsden County PHC	3	5	1	-	-	"96,417"	"62,000"	04	63	3
74	B058	Florida	Rockledge	Brevard	Brevard County PHC	3	5	1	-	-	"354,909"	"175,864"	04	64	3
74	A084	Florida	Rockledge	Brevard	Wuesthoff Mem Hosp	1	1	5	4	55	"1,521,109"	"685,000"	02	61	3
74	D017	Florida	Rockledge	Brevard	Wuesthoff Mem Hosp	1	9	2	-	-	"230,515"	"114,984"	06	67	3
74	L017	Florida	Rockledge	Brevard	Wuesthoff Mem Hosp	1	LTU	2	-	54	"540,025"	"267,630"	06	67	3
74	B036	Florida	Sanford	Seminole	Seminole County PHC	3	5	1	-	-	"128,948"	"54,000"	05	59	3
74	T033	Florida	Sanford	Seminole	Seminole Memorial Hosp	3	9	3	-	-	"180,500"	"90,000"	06	71	2
74	A111	Florida	Sanford	Seminole	Seminole Memorial Hosp	3	1	2	4	60	"1,076,222"	"678,023"	10	64	3
74	A034	Florida	Sanford	Seminole	Seminole Memorial Hosp	3	1	1	-	75	"1,100,258"	"445,000"	01	54	3
74	A070	Florida	Sanford	Seminole	Seminole Memorial Hosp	3	1	2	4	40	"685,672"	"325,000"	03	60	3
74	A100	Florida	Sanford	Seminole	Seminole Memorial Hosp	3	1	5	4	16	"132,273"	"75,000"	02	63	3
74	R004	Florida	Sarasota	Sarasota	Happiness House	1	6	1	-	-	"326,357"	"152,112"	04	58	3
74	C010	Florida	Sarasota	Sarasota	Memorial Hosp	3	LTU	2	-	35	"371,304"	"185,651"	03	58	3
74	E004	Florida	Sarasota	Sarasota	Memorial Hosp	3	1	5	-	26	"334,264"	"116,992"	03	58	3
74	A025	Florida	Sarasota	Sarasota	Memorial Hosp	3	1	5	1	66	"1,584,032"	"425,000"	01	52	3
74	E010	Florida	Sarasota	Sarasota	Memorial Hosp	3	1	2	-	20	"1,358,184"	"107,950"	07	64	3
74	B031	Florida	Sarasota	Sarasota	Sarasota CO PHC	3	5	1	-	-	"117,229"	"32,172"	07	57	3
74	L006	Florida	Sebring	Highlands	Cottrell Mem NRSNG HME	1	0	2	-	30	"304,462"	"135,143"	06	68	3
74	NU10	Florida	Sebring	Highlands	FLA Brethren NRSNG Home	1	0	1	-	25	"199,722"	"98,815"	04	63	3
74	A099	Florida	Sebring	Highlands	Highland Hosp	5	1	1	-	61	"1,487,883"	"585,000"	02	63	3
74	B006	Florida	South Miami	Dade	Dade CO AUX PHC	3	5	1	-	-	"47,619"	"16,667"	04	53	3
74	A058	Florida	ST Augustine	ST Johns	Flagler Hosp	1	1	5	-	60	"1,411,425"	"629,546"	05	59	3
74	B088	Florida	ST Augustine	ST Johns	ST Johns County PHC	3	5	4	-	-	"226,500"	"90,000"	07	69	2
74	L024	Florida	ST Augustine	ST Johns	Wesley Manor	1	0	4	-	50	"749,807"	"364,903"	09	69	2
74	A088	Florida	ST Cloud	Osceola	ST Cloud Hosp	1	1	1	8	-	"89,948"	"49,471"	06	63	3
75	R008	Florida	ST Petersburg	Pinellas	Abilities Rehab Center	1	6	1	-	-	"221,775"	"110,888"	05	60	3
75	A114	Florida	ST Petersburg	Pinellas	All Childrens Hosp	1	1	1	-	100	"3,426,626"	"1,000,000"	11	64	3
75	C004	Florida	ST Petersburg	Pinellas	Amer LEG Crippled Child	1	4	5	3	20	"73,973"	"31,695"	10	55	3
75	C001	Florida	ST Petersburg	Pinellas	Amer LEG Crippled Child	1	4	1	-	61	"777,275"	"258,497"	01	48	3
75	E005	Florida	ST Petersburg	Pinellas	Mound Park Hosp	2	1	2	-	46	"699,141"	"203,597"	02	59	3
75	TC07	Florida	ST Petersburg	Pinellas	Mound Park Hosp	2	9	2	-	-	"422,938"	"211,244"	02	59	3
75	A115	Florida	ST Petersburg	Pinellas	Mound Park Hosp	2	1	2	-	78	"625,961"	"255,000"	09	64	3
75	C016	Florida	ST Petersburg	Pinellas	Mound Park Hosp	2	LTU	3	-	77	"396,102"	"197,885"	05	63	3
75	B076	Florida	ST Petersburg	Pinellas	Pinellas County PHC	3	5	1	-	-	"1,310,148"	"500,000"	05	67	3
75	AG10	Florida	ST Petersburg	Pinellas	ST Anthonys Hosp	1	1	5	-	306	"7,397,661"	"1,000,000"	07	64	3
75	TC10	Florida	ST Petersburg	Pinellas	ST Anthonys Hosp	1	9	2	-	-	"628,954"	"314,477"	07	64	3
75	L001	Florida	ST Petersburg	Pinellas	Swanholm Nursing Home	1	0	2	4	115	"941,140"	"461,332"	09	65	3
75	A094	Florida	Starke	Bradford	Bradford CO Hosp	3	1	5	4	25	"366,694"	"195,000"	02	62	3
75	A035	Florida	Starke	Bradford	Bradford CO Hosp	3	1	1	-	25	"442,507"	"278,910"	01	54	3
75	A133	Florida	Stuart	Martin	Martin Memorial Hosp	1	1	5	4	42	"1,750,000"	"540,000"	10	68	2
75	A064	Florida	Stuart	Martin	Martin Memorial Hosp	1	1	5	-	54	"1,336,641"	"558,125"	06	60	3
75	R016	Florida	Tallahassee	Leon	Easter Seal Rehab CTR	1	6	1	-	-	"134,585"	"67,054"	09	63	3
75	A006	Florida	Tallahassee	Leon	Florida A And M College	4	1	1	3	100	"1,923,119"	"641,040"	03	48	3
75	B061	Florida	Tallahassee	Leon	Leon County PHC	3	5	1	-	-	"445,393"	"207,500"	04	64	3
75	0014	Florida	Tallahassee	Leon	Tallahassee Mem Hosp	2	1	2	-	152	"3,268,651"	"1,500,000"	05	67	2
75	A008	Florida	Tallahassee	Leon	Tallahassee Mem Hosp	2	1	1	-	150	"2,007,038"	"483,640"	09	48	3
75	M014	Florida	Tallahassee	Leon	Tallahassee Mem Hosp	2	1	3	4	29	"2,408,476"	"1,000,000"	05	67	2
75	D002	Florida	Tallahassee	Leon	W T Edwards Sanatorium	4	2	1	-	350	"2,822,310"	"780,133"	06	50	3
75	A072	Florida	Tampa	Hillsborough	Centro Asturiano Hosp	1	1	5	4	32	"625,984"	"275,864"	06	60	3
75	LT13	Florida	Tampa	Hillsborough	Centro Asturiano Hosp	1	LTU	2	-	50	"900,703"	"365,663"	02	68	3
75	A131	Florida	Tampa	Hillsborough	Centro Espanol Hosp	1	1	4	-	100	"2,559,111"	"1,000,000"	08	68	2
75	L005	Florida	Tampa	Hillsborough	COR Jesu Home For Aged	1	0	2	-	40	"355,893"	"177,946"	06	67	3
75	T022	Florida	Tampa	Hillsborough	Guidance Center	3	9	1	-	-	"240,389"	"120,195"	06	65	3
75	B071	Florida	Tampa	Hillsborough	Hillsborough CO PHC	3	5	1	-	-	"1,206,599"	"456,340"	03	65	3
75	R019	Florida	Tampa	Hillsborough	P Coles Easter Seal CTR	1	6	1	-	-	"91,957"	"45,496"	02	65	3
75	B063	Florida	Tampa	Hillsborough	Regional Laboratory	4	8	1	-	-	"747,597"	"371,246"	04	64	3
75	A096	Florida	Tampa	Hillsborough	ST Josephs Hosp	1	1	1	-	450	"12,891,876"	"1,500,000"	05	62	3
75	T096	Florida	Tampa	Hillsborough	ST Josephs Hosp	1	9	2	-	-	"867,654"	"427,969"	03	63	3
75	A017	Florida	Tampa	Hillsborough	ST Josephs Hosp	1	1	2	-	73	"711,449"	"237,604"	05	50	3
75	R003	Florida	Tampa	Hillsborough	Tampa Gen Curtis Hixon	2	6	2	-	-	"134,691"	"67,346"	03	57	3
75	E003	Florida	Tampa	Hillsborough	Tampa Gen Hosp	2	1	5	3	68	"1,502,614"	"423,903"	06	55	3
75	A098	Florida	Tampa	Hillsborough	Tampa Gen Hosp	3	1	2	-	37	"320,094"	"105,000"	04	62	3
76	C006	Florida	Tampa	Hillsborough	Tampa Gen Hosp	2	LTU	2	-	46	"327,009"	"162,500"	06	56	3
76	L028	Florida	Tarpon Springs	Pinellas	Tarpon Springs GEN Hosp	2	LTU	2	4	50	"753,024"	"375,000"	01	71	2
76	A118	Florida	Tarpon Springs	Pinellas	Tarpon Springs GEN Hosp	2	1	6	-	33	"850,481"	"425,000"	07	64	3
76	B082	Florida	Tavares	Lake	Lake County PHC	3	5	4	-	-	"129,469"	"51,434"	07	68	2
76	T103	Florida	Titusville	Brevard	Jess Parrish MEM Hosp	5	9	2	-	-	"454,985"	"219,587"	04	64	3
76	A103	Florida	Titusville	Brevard	Jess Parrish MEM Hosp	5	1	5	-	200	"4,311,835"	"1,035,000"	05	63	3
76	B066	Florida	Titusville	Brevard	Titusville PHC	3	5	1	-	-	"167,958"	"83,733"	07	65	3
76	B070	Florida	Venice	Sarasota	Venice Auxiliary PHC	3	5	1	-	-	"312,162"	"31,980"	05	65	3
76	L019	Florida	Venice	Sarasota	Venice Hosp	1	LTU	2	4	50	"1,668,599"	"595,000"	03	69	3
76	B060	Florida	Vero Beach	Indian River	Indian River County PHC	3	5	1	-	-	"108,633"	"43,378"	04	64	3
76	TC09	Florida	Vero Beach	Indian River	Indian River MEM Hosp	3	9	2	-	-	"387,197"	"183,990"	05	63	3
76	G009	Florida	Vero Beach	Indian River	Indian River MEM Hosp	3	1	5	-	34	"881,750"	"341,816"	05	63	3
76	CH09	Florida	Vero Beach	Indian River	Indian River MEM Hosp	3	LTU	2	4	35	"810,022"	"393,630"	05	63	3
76	A011	Florida	Vero Beach	Indian River	Indian River MEM Hosp	3	1	1	-	30	"500,323"	"164,593"	12	48	3
76	C017	Florida	W Palm Beach	Palm Beach	Palm Beach CO NRSG Home	3	0	2	-	24	"318,522"	"150,373"	12	62	3
76	M004	Florida	W Palm Beach	Palm Beach	Palm Beach CO NRSG Home	3	0	9	4	90	"1,418,664"	"610,853"	10	70	2
76	B033	Florida	W Palm Beach	Palm Beach	Palm Beach CO PHC	3	5	1	-	-	"433,445"	"126,000"	03	58	3
76	C007	Florida	W Palm Beach	Palm Beach	Pine Ridge Hosp	1	LTU	2	8	31	"829,108"	"90,000"	02	57	3
76	T019	Florida	W Palm Beach	Palm Beach	ST Marys Hosp	1	9	2	-	-	"683,527"	"341,764"	10	64	3
76	A091	Florida	W Palm Beach	Palm Beach	ST Marys Hosp	1	1	5	4	20	"409,328"	"175,935"	03	62	3
76	B042	Florida	Wauchula	Hardee	Hardee County PHC	3	5	1	-	-	"64,037"	"32,000"	05	60	3
76	A126	Florida	Wauchula	Hardee	Hardee Memorial Hosp	3	1	4	-	50	"1,199,779"	"539,900"	08	67	2
76	B025	Florida	Wewahitchka	Gulf	Gulf CO AUX PHC	3	5	1	-	-	"53,878"	"25,000"	02	56	3
76	A110	Florida	Williston	Levy	Memorial Hosp	2	1	4	-	25	"55,407"	"275,000"	07	64	3
76	A007	Florida	Winter Garden	Drange	West Orange MEM Hosp	5	1	1	1	35	"211,979"	"125,529"	06	50	3
76	B008	Florida	Winter Haven	Polk	Polk County PHC	3	5	1	-	-	"102,110"	"40,750"	07	52	3
76	B064	Florida	Winter Haven	Polk	Polk County PHC	3	5	2	-	-	"90,338"	"31,465"	04	65	3
76	B046	Florida	Winter Haven	Polk	Reg Environmental LAB	4	8	1	-	-	"153,404"	"75,894"	02	61	3
76	L027	Florida	Winter Haven	Polk	Winter Haven Hosp	1	LTU	2	4	100	"1,688,500"	"750,000"	08	70	2
76	TL17	Florida	Winter Haven	Polk	Winter Haven Hosp	1	LTU	2	-	40	"805,597"	"400,102"	08	64	3
76	NU04	Florida	Winter Haven	Polk	Winter Haven Hosp	1	LTU	2	-	24	"258,869"	"113,199"	02	59	3
76	T017	Florida	Winter Haven	Polk	Winter Haven Hosp	1	9	2	-	-	"619,489"	"303,300"	08	64	3
76	0020	Georgia	Adamsville	Fulton	Fulton County Aux PHC	3	5	1	-	-	"43,001"	"14,334"	04	48	3
76	0150	Georgia	Adel	Cook	Cook CO Aux PHC	3	5	1	-	-	"70,882"	"23,607"	01	55	3
76	0327	Georgia	Adel	Cook	Memorial Hosp	3	1	2	4	14	"407,883"	"159,748"	12	62	3
77	0027	Georgia	Adel	Cook	Memorial Hosp	3	1	1	-	25	"193,800"	"116,280"	08	49	3
77	0332	Georgia	Alamo	Wheeler	Wheeler CO Aux PHC	3	5	1	-	-	"53,258"	"21,228"	02	63	3
77	0344	Georgia	Albany	Dougherty	Dougherty County PHC	3	5	1	-	-	"310,076"	"122,222"	12	63	3
77	R440	Georgia	Albany	Dougherty	Easter Seal Rehab CTR	1	6	4	-	-	"493,155"	"295,893"	02	69	2
77	G175	Georgia	Albany	Dougherty	Phoebe Putney Mem Hosp	6	1	5	-	108	"1,707,976"	"544,560"	12	55	3
77	C281	Georgia	Albany	Dougherty	Phoebe Putney Mem Hosp	6	LTU	2	-	63	"400,931"	"195,035"	01	61	3
77	D175	Georgia	Albany	Dougherty	Phoebe Putney Mem Hosp	6	9	2	-	-	"478,191"	"237,865"	12	55	3
77	0383	Georgia	Albany	Dougherty	Phoebe Putney Mem Hosp	6	1	5	4	198	"5,291,116"	"1,572,000"	08	65	3
77	0161	Georgia	Alma	Bacon	Bacon CO Aux PHC	3	5	3	-	-	"84,274"	"28,092"	02	55	3
77	0074	Georgia	Alma	Bacon	Bacon County Hosp	3	1	1	-	30	"327,138"	"179,926"	12	50	3
77	0017	Georgia	Alpharetta	Fulton	Fulton County Aux PHC	3	5	1	-	-	"37,654"	"12,551"	05	48	3
